Nam_Type_Istoch;List_RN
БИС-40;стронций-90; иттрий-90
CDCB 1933;цезий-137
ТНТ1415;тритий
ТНТ145;тритий
ТНТ147-01;тритий
ТНТ147-02;тритий
ТНТС1413;тритий
ТНТС192;тритий
Тритиево-титановая мишень;тритий
У;цезий-137
У13-86;углерод-14
У3П8П9-225;уран-233; плутоний-238; плутоний-239
GAm1.043;америций-241
GAm1.045;америций-241
GAm1.053;америций-241
GAm1.06;америций-241
ОСГИ;барий-133
ОСГИ;висмут-207
ОСГИ;гадолиний-153
ОСГИ;европий-152
ОСГИ;железо-55
ОСГИ;иттрий-88
ОСГИ;йод-125
ОСГИ;кадмий-109
ОСГИ;кобальт-57
ОСГИ;кобальт-60
ОСГИ;марганец-54
ОСГИ;натрий-22
CS730000001M;цезий-137
CS730000005U;цезий-137
CS730000010M;цезий-137
CS730000050M;цезий-137
CS730000100M;цезий-137
CS730000100U;цезий-137
CS730000250M;цезий-137
CS730110001M;цезий-137
CS730110005U;цезий-137
CS730110010M;цезий-137
CS730110050M;цезий-137
CS730110100M;цезий-137
CS730110100U;цезий-137
CS730110250M;цезий-137
CS730150001M;цезий-137
CS730150005U;цезий-137
CS730150010M;цезий-137
CS730150050M;цезий-137
CS730150100M;цезий-137
CS730150100U;цезий-137
CS730150250M;цезий-137
CS730240001M;цезий-137
CS730240005U;цезий-137
CS730240010M;цезий-137
CS730240050M;цезий-137
CS730240050N;цезий-137
CS730240100M;цезий-137
CS730240100U;цезий-137
CS730240500M;цезий-137
CS730250001M;цезий-137
CS730250005U;цезий-137
CS730250010M;цезий-137
CS730250050M;цезий-137
CS730250050N;цезий-137
CS730250100M;цезий-137
CS730250100U;цезий-137
CS732010001M;цезий-137
CS732010005U;цезий-137
CS732010010M;цезий-137
CS732010050M;цезий-137
CS732010050N;цезий-137
CS732010100M;цезий-137
CLC.13076;кюрий-244
CLC.13144;кюрий-244
CLC.13145;кюрий-244
CLC.13146;кюрий-244
CLC.13147;кюрий-244
CLC.13528;кюрий-244
CLC.13529;кюрий-244
CLS 15вн.;цезий-137
CLS 20вн.;цезий-137
CO0;кобальт-60
CO030000001M;кобальт-60
CO030000005M;кобальт-60
CO030000010M;кобальт-60
CO030000050M;кобальт-60
CO030000100M;кобальт-60
CO030000100U;кобальт-60
CO030000500U;кобальт-60
CO030110001M;кобальт-60
CO030110005M;кобальт-60
CO030110010M;кобальт-60
CO030110050M;кобальт-60
NCm4;кюрий-244
NCm4.15.1;кюрий-244
NCm4.15.2;кюрий-244
NCm4.15.3;кюрий-244
NCm4.15.4;кюрий-244
NCm4.15.X;кюрий-244
NER;криптон-85
NER;никель-63
3У4-252;уран-234
3У4-401;уран-234
3У4-631;уран-234
3У8;уран-238
3У8-161;уран естественный
3У8-251;уран естественный
3У8-401;уран естественный
3Уг4;углерод-14
4арп-9;плутоний-239
4брс-0;стронций-90
4П9;плутоний-239
4П9-102;плутоний-239
4П9-103;плутоний-239
4П9-104;плутоний-239
4П9-105;плутоний-239
4П9-106;плутоний-239
4П9-162;плутоний-239
4П9-163;плутоний-239
4П9-164;плутоний-239
4П9-165;плутоний-239
4П9-166;плутоний-239
4П9-252;плутоний-239
4П9-253;плутоний-239
4П9-254;плутоний-239
4П9-255;плутоний-239
4П9-256;плутоний-239
4П9-401;плутоний-239
4П9-402;плутоний-239
4П9-403;плутоний-239
4П9-404;плутоний-239
4П9-405;плутоний-239
4П9-406;плутоний-239
4П9-631;плутоний-239
4П9-632;плутоний-239
4П9-633;плутоний-239
4П9-634;плутоний-239
4П9-635;плутоний-239
4СО;стронций-90; иттрий-90
4СО-133;стронций-90; иттрий-90
4СО-134;стронций-90; иттрий-90
4СО-135;стронций-90; иттрий-90
4СО-136;стронций-90; иттрий-90
4СО-137;стронций-90; иттрий-90
4СО-138;стронций-90; иттрий-90
4СО-212;стронций-90; иттрий-90
4СО-213;стронций-90; иттрий-90
4СО-214;стронций-90; иттрий-90
4СО-215;стронций-90; иттрий-90
4СО-216;стронций-90; иттрий-90
4СО-217;стронций-90; иттрий-90
4СО-322;стронций-90; иттрий-90
4СО-323;стронций-90; иттрий-90
4СО-324;стронций-90; иттрий-90
4СО-325;стронций-90; иттрий-90
4СО-326;стронций-90; иттрий-90
4СО-327;стронций-90; иттрий-90
4СО-532;стронций-90; иттрий-90
4СО-533;стронций-90; иттрий-90
4СО-534;стронций-90; иттрий-90
4СО-535;стронций-90; иттрий-90
4СО-536;стронций-90; иттрий-90
4СО-537;стронций-90; иттрий-90
4СО-802;стронций-90; иттрий-90
4СО-803;стронций-90; иттрий-90
4СО-804;стронций-90; иттрий-90
4СО-805;стронций-90; иттрий-90
4СО-806;стронций-90; иттрий-90
4СО-807;стронций-90; иттрий-90
4Т4;таллий-204
4У4;уран-234
4У4-102;уран-234
4У4-162;уран-234
4У4-251;уран-234
4У4-252;уран-234
4У4-401;уран-234
4У4-402;уран-234
4У4-631;уран-234
4У8;уран-238
4У8-102;уран естественный
4У8-162;уран естественный
4У8-251;уран естественный
4У8-401;уран естественный
4У8-631;уран естественный
4УГ;углерод-14
4УГ4;углерод-14
5а;плутоний-239
5П9;плутоний-239
5П9-102;плутоний-239
5П9-103;плутоний-239
5П9-104;плутоний-239
5П9-105;плутоний-239
5П9-106;плутоний-239
5П9-107;плутоний-239
5П9-162;плутоний-239
5П9-163;плутоний-239
5П9-164;плутоний-239
5П9-165;плутоний-239
5П9-166;плутоний-239
5П9-251;плутоний-239
5П9-252;плутоний-239
5П9-253;плутоний-239
5П9-254;плутоний-239
5П9-255;плутоний-239
5П9-256;плутоний-239
5П9-401;плутоний-239
5П9-402;плутоний-239
5П9-403;плутоний-239
5П9-404;плутоний-239
5П9-405;плутоний-239
5П9-406;плутоний-239
5П9-631;плутоний-239
5П9-632;плутоний-239
5П9-633;плутоний-239
5П9-634;плутоний-239
